STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00200230,42.29806,-83.66388,247.8,1985,609,609,170,95,68,23,10,124,65,144,3,-16,13,5,2.14,92,30,28,22,14,14,32,25,19,19,15,6126,6126,43.19,62.9,48.7,57.9,39.5
USC00200230,42.29806,-83.66388,247.8,1986,689,689,156,82,65,18,4,142,41,147,7,-6,9,3.7,1.82,92,32,22,22,10,10,29,22,22,20,10,6381,6381,35.79,50.9,49.5,58.5,40.4
USC00200230,42.29806,-83.66388,247.8,1987,978,978,151,78,59,20,3,132,32,145,29,-4,9,6.8,2.87,97,30,27,23,12,12,31,25,19,19,13,6012,6012,33.75,58.2,51.3,60.8,41.7
USC00200230,42.29806,-83.66388,247.8,1988,982,982,159,79,64,17,10,139,48,141,40,-13,11,7,2.58,101,30,27,21,16,16,32,28,17,17,14,6444,6444,37.92,54.7,49.4,59.5,39.3
USC00200230,42.29806,-83.66388,247.8,1989,609,609,158,85,59,17,8,150,58,142,2,-9,7,4,1.75,91,32,27,16,16,16,29,26,20,20,15,6529,6529,36.15,50.9,47.8,57.3,38.3
USC00200230,42.29806,-83.66388,247.8,1990,650,650,147,83,51,13,2,128,22,144,7,-1,8,6.9,3.6,97,32,27,23,16,16,32,25,22,20,7,6414,6414,47.23,50.8,50.7,60.2,41.3
USC00200230,42.29806,-83.66388,247.8,1991,978,978,152,81,46,15,2,124,44,153,18,0,9,5.8,1.56,95,30,27,19,19,16,32,28,23,18,14,5803,5803,32.87,39.5,51.3,60.8,41.8
USC00200230,42.29806,-83.66388,247.8,1992,390,390,168,90,45,13,1,130,30,127,3,-1,11,9.4,1.63,91,32,26,24,19,15,30,24,24,18,11,6320,6320,39.07,51.8,48.3,57.1,39.5
USC00200230,42.29806,-83.66388,247.8,1993,644,644,175,82,77,24,2,144,48,128,8,-3,9,7.4,1.44,93,32,28,24,19,15,27,27,24,12,12,6575,6575,34.66,73.5,48.3,57,39.6
USC00200230,42.29806,-83.66388,247.8,1994,682,682,146,67,68,18,12,127,45,140,8,-22,9,9.6,1.39,95,32,28,19,19,12,30,25,21,11,11,6957,6957,34.35,61.3,49.2,59,39.3
USC00200230,42.29806,-83.66388,247.8,1995,869,869,158,74,78,17,4,142,61,144,15,-4,9,5.6,2.08,98,30,25,20,20,14,31,28,14,14,14,6042,6042,34.84,58.1,49,58.3,39.7
USC00200230,42.29806,-83.66388,247.8,1996,673,673,173,82,57,22,10,150,58,131,6,-10,6,6.5,1.9,93,32,28,24,20,15,29,28,20,20,6,7096,7096,34.07,60.4,47.7,56.9,38.5
USC00200230,42.29806,-83.66388,247.8,1997,522,522,184,90,57,23,4,134,43,121,7,-7,7,7.3,2.01,94,32,26,18,18,14,32,28,20,20,14,6699,6699,39.79,65.4,48.1,56.7,39.4
USC00200230,42.29806,-83.66388,247.8,1998,932,932,135,78,,10,0,105,22,156,11,7,,5,4.54,96,32,25,19,19,10,30,28,23,14,14,5770,5770,39.18,26.6,53.2,62.5,43.8
USC00200230,42.29806,-83.66388,247.8,1999,851,851,139,74,51,20,5,124,37,157,17,-9,18,10.1,2.12,96,32,27,22,20,14,31,28,24,15,15,5731,5731,36.34,75.7,51,61,41
USC00200230,42.29806,-83.66388,247.8,2000,,,168,91,66,23,7,124,,,,-6,18,7,3.17,,32,27,23,18,15,28,28,19,19,12,5736,5736,45.92,77,,,40.2
USC00200230,42.29806,-83.66388,247.8,2001,783,783,163,79,52,13,0,121,36,139,14,1,15,3.1,2.23,98,30,28,24,19,10,29,28,21,17,8,,,38.38,35.9,51,60.1,41.9
USC00200230,42.29806,-83.66388,247.8,2002,1014,1014,159,75,51,14,0,142,29,142,30,2,8,7.6,1.57,96,31,28,24,16,16,30,26,22,20,13,5740,5740,30.83,59.7,50.8,60.3,41.2
USC00200230,42.29806,-83.66388,247.8,2003,579,579,174,86,63,23,3,137,57,144,5,-8,7,6.1,1.54,92,31,27,18,18,15,32,27,22,16,16,6698,6698,35.86,57.7,48.7,58.3,39.1
USC00200230,42.29806,-83.66388,247.8,2004,612,612,170,87,72,19,6,122,47,155,3,-6,12,7.4,2.19,91,31,27,23,19,1,29,28,21,14,14,6121,6121,35.19,58.2,49.8,59.1,40.5
USC00200230,42.29806,-83.66388,247.8,2005,1017,1017,149,84,92,26,4,133,62,152,21,-3,12,9.3,2.42,95,29,24,24,19,12,27,27,24,16,16,6229,6229,35.37,97.3,50.5,59.9,41.1
USC00200230,42.29806,-83.66388,247.8,2006,742,742,161,93,15,7,0,111,17,137,10,1,4,4.7,2.39,95,32,28,24,19,,32,26,20,20,16,5703,5703,47.56,25.6,51.6,60.5,42.7
USC00200230,42.29806,-83.66388,247.8,2007,908,908,174,76,63,16,4,129,62,163,12,-6,10,10.6,1.68,96,31,27,19,19,16,29,27,23,18,10,6014,6014,36.78,58.5,50.6,60,41.2
USC00200230,42.29806,-83.66388,247.8,2008,691,691,183,98,81,30,3,139,56,145,7,-1,10,11.4,2.08,93,29,26,20,20,16,29,28,24,20,12,6248,6248,41.73,105.8,49.1,58.4,39.7
USC00200230,42.29806,-83.66388,247.8,2009,487,487,172,81,59,20,5,128,54,137,5,-10,12,6.6,2.65,93,30,26,24,17,12,29,27,24,19,12,6545,6545,41.3,58.2,48.8,58,39.6
USC00200230,42.29806,-83.66388,247.8,2010,978,978,148,74,71,15,0,128,58,151,12,3,13,9.6,2.64,94,32,27,24,18,12,32,27,22,20,11,5879,5879,38.91,54.4,51.3,60.6,42.1
USC00200230,42.29806,-83.66388,247.8,2011,949,949,178,102,,,2,129,47,137,26,-2,,,2.79,99,30,28,22,13,13,31,28,22,19,15,6486,6486,51.09,,50.5,59.4,41.6
USC00200230,42.29806,-83.66388,247.8,2012,1073,1073,149,72,,,0,115,21,157,35,2,,,0.98,100,30,28,22,19,13,27,27,19,19,16,5139,5139,27.02,,53.4,63.4,43.4
USC00200230,42.29806,-83.66388,247.8,2013,758,758,178,81,,,1,143,50,146,9,-3,,,1.83,94,31,22,22,19,11,28,28,24,14,14,6172,6172,39.45,,49.2,58.1,40.4
USC00200230,42.29806,-83.66388,247.8,2014,600,600,182,90,,,14,137,66,141,1,-14,,,1.6,93,29,22,22,11,11,32,19,19,19,11,7091,7091,39.14,,47.4,56.5,38.2
USC00200230,42.29806,-83.66388,247.8,2015,747,747,169,74,,,16,113,53,153,7,-15,,,2,91,28,28,22,19,,27,27,24,17,13,6741,6741,34.98,,50.1,59.6,40.6
USC00200230,42.29806,-83.66388,247.8,2016,1049,1049,165,85,54,20,1,121,38,155,22,-1,9,9.2,2.51,95,32,27,23,20,14,31,23,23,17,15,5393,5393,36.56,64.7,52.4,61.9,42.8
USC00200230,42.29806,-83.66388,247.8,2017,714,714,181,90,42,18,4,114,38,155,11,-17,10,4.3,1.7,92,28,28,23,16,16,31,19,19,19,13,5342,5342,40.83,60.5,51,61.1,41
US1MIWS0015,42.2865,-83.7699,274,2009,,,109,73,,,,,,,,,,,3.76,,,,,,,,,,,,,,37.43,,,,
